mission_id,lat,lon,start,goal,cheb_dist,opt_reachable,opt_energy,opt_steps,mars_rover_ppo_best_success,mars_rover_ppo_best_fail_mode,mars_rover_ppo_best_steps,mars_rover_ppo_best_energy_used,mars_rover_ppo_best_energy_left,mars_rover_ppo_best_hazard_hits,mars_rover_ppo_best_efficiency_pct,mars_rover_ppo_best_extra_steps,mars_rover_ppo_old_success,mars_rover_ppo_old_fail_mode,mars_rover_ppo_old_steps,mars_rover_ppo_old_energy_used,mars_rover_ppo_old_energy_left,mars_rover_ppo_old_hazard_hits,mars_rover_ppo_old_efficiency_pct,mars_rover_ppo_old_extra_steps
871,33.168,-139.984,"[0, 15]","[15, 8]",15,True,31.9,19,True,,21,59.94,40.06,0,53.2,2,True,,15,41.77,58.23,2,76.4,-4
872,-42.93,61.074,"[14, 3]","[0, 11]",14,True,40.97,16,True,,16,41.8,58.2,0,98.0,0,True,,14,50.91,49.09,0,80.5,-2
873,57.681,18.112,"[3, 16]","[17, 8]",14,True,33.56,15,True,,16,38.53,61.47,0,87.1,1,True,,14,39.77,60.23,0,84.4,-1
874,-0.299,-116.65,"[11, 0]","[10, 16]",16,True,17.24,16,True,,16,18.07,81.93,0,95.4,0,True,,16,20.56,79.44,0,83.9,0
875,32.743,5.938,"[3, 8]","[17, 11]",14,True,39.9,14,True,,14,44.11,55.89,0,90.4,0,True,,14,47.01,52.99,0,84.9,0
876,-42.057,-59.298,"[1, 0]","[16, 3]",15,True,31.07,19,True,,16,35.87,64.13,0,86.6,-3,True,,15,36.7,63.3,0,84.7,-4
877,52.528,113.864,"[1, 2]","[16, 4]",15,True,39.83,15,True,,15,43.38,56.62,4,91.8,0,True,,15,53.5,46.5,4,74.4,0
878,11.341,-157.913,"[11, 4]","[12, 18]",14,True,14.41,14,True,,14,14.41,85.59,0,100.0,0,True,,14,17.73,82.27,0,81.3,0
879,-13.335,30.697,"[14, 6]","[0, 14]",14,True,32.8,18,True,,16,38.56,61.44,0,85.1,-2,True,,14,46.67,53.33,0,70.3,-4
880,-47.827,-154.209,"[19, 19]","[19, 2]",17,True,48.66,17,True,,17,32.66,67.34,1,100.0,0,True,,17,60.5,39.5,4,80.4,0
881,-38.022,-25.186,"[0, 15]","[9, 0]",15,True,46.53,15,True,,18,52.8,47.2,0,88.1,3,True,,15,51.5,48.5,1,90.3,0
882,-22.453,66.395,"[18, 6]","[2, 14]",16,True,44.77,16,True,,18,48.87,51.13,1,91.6,2,True,,16,54.33,45.67,0,82.4,0
883,-45.362,80.867,"[0, 4]","[12, 18]",14,True,26.8,15,True,,15,28.21,71.79,0,95.0,0,True,,14,28.46,71.54,0,94.2,-1
884,24.797,-160.301,"[16, 13]","[2, 9]",14,True,28.66,14,True,,17,32.9,67.1,0,87.1,3,True,,14,37.36,62.64,0,76.7,0
885,-13.077,94.456,"[1, 4]","[15, 9]",14,True,29.56,15,True,,14,30.97,69.03,0,95.4,-1,True,,14,33.11,66.89,0,89.3,-1
886,-19.754,100.61,"[18, 2]","[4, 17]",15,True,33.21,19,True,,19,35.21,64.79,0,94.3,0,True,,16,44.84,55.16,0,74.1,-3
887,32.08,130.091,"[1, 10]","[15, 16]",14,True,23.49,15,True,,14,25.56,74.44,0,91.9,-1,True,,14,25.38,74.62,0,92.5,-1
888,-14.713,-158.253,"[14, 5]","[0, 4]",14,True,43.83,14,True,,14,50.94,49.06,4,86.0,0,True,,14,55.91,44.09,5,78.4,0
889,44.408,-13.015,"[19, 4]","[4, 1]",15,True,29.14,16,True,,15,35.21,64.79,0,82.8,-1,True,,15,39.77,60.23,0,73.3,-1
890,21.303,-171.482,"[18, 18]","[2, 19]",16,True,25.24,16,True,,17,29.38,70.62,0,85.9,1,True,,16,31.87,68.13,0,79.2,0
891,-8.795,42.149,"[15, 16]","[2, 0]",16,True,58.91,16,False,energy_exhausted,35,100.0,0.0,0,,,True,,16,63.81,36.19,0,92.3,0
892,3.242,55.035,"[18, 7]","[3, 18]",15,True,24.63,15,True,,23,29.49,70.51,0,83.5,8,True,,15,26.87,73.13,0,91.7,0
893,19.161,154.526,"[0, 7]","[19, 18]",19,True,53.77,19,True,,28,67.77,32.23,1,79.3,9,True,,19,58.91,41.09,0,91.3,0
894,-16.373,92.418,"[0, 18]","[17, 19]",17,True,37.04,17,True,,17,25.24,74.76,0,100.0,0,True,,17,49.84,50.16,1,74.3,0
895,53.721,19.821,"[1, 6]","[17, 5]",16,True,26.14,16,True,,16,27.14,72.86,0,96.3,0,True,,16,35.11,64.89,0,74.5,0
896,-41.877,-129.764,"[6, 2]","[8, 19]",17,True,35.97,18,True,,18,37.8,62.2,0,95.2,0,True,,17,48.43,51.57,0,74.3,-1
897,-28.81,142.577,"[3, 16]","[11, 0]",16,True,29.31,19,True,,19,34.63,65.37,0,84.7,0,True,,16,35.94,64.06,0,81.6,-3
898,45.513,168.684,"[15, 6]","[0, 17]",15,True,42.28,18,True,,21,49.94,50.06,0,84.7,3,True,,15,51.5,48.5,4,82.1,-3
899,7.868,127.054,"[10, 0]","[19, 16]",16,True,33.97,18,True,,18,41.63,58.37,0,81.6,0,True,,16,48.43,51.57,0,70.1,-2
900,-0.766,157.226,"[13, 18]","[9, 1]",17,True,33.49,17,True,,19,36.56,63.44,0,91.6,2,True,,17,40.18,59.82,0,83.3,0
901,-10.244,27.63,"[15, 19]","[8, 2]",17,True,42.49,19,True,,35,83.04,16.96,0,51.2,16,True,,20,50.53,49.47,0,84.1,1
902,44.625,-62.222,"[3, 13]","[19, 13]",16,True,37.14,16,True,,17,39.31,60.69,2,94.5,1,True,,16,46.43,53.57,2,80.0,0
903,-36.781,75.107,"[2, 6]","[17, 19]",15,True,60.04,20,True,,20,60.87,39.13,1,98.6,0,True,,15,69.05,30.95,7,86.9,-5
904,27.812,32.548,"[9, 0]","[18, 16]",16,True,24.73,17,True,,17,27.14,72.86,0,91.1,0,True,,16,32.7,67.3,0,75.6,-1
905,-53.775,62.028,"[14, 17]","[10, 1]",16,True,34.9,16,True,,16,35.73,64.27,0,97.7,0,True,,16,44.43,55.57,0,78.6,0
906,20.058,40.543,"[18, 17]","[4, 3]",14,True,54.08,15,True,,17,57.6,42.4,3,93.9,2,True,,15,54.5,45.5,2,99.2,0
907,35.975,-17.956,"[15, 8]","[1, 7]",14,True,40.49,14,True,,17,51.21,48.79,1,79.1,3,True,,14,50.84,49.16,0,79.6,0
908,-13.731,7.185,"[0, 8]","[19, 13]",19,True,21.07,19,True,,19,21.07,78.93,0,100.0,0,True,,19,25.21,74.79,0,83.6,0
909,48.092,18.135,"[3, 1]","[19, 15]",16,True,40.11,18,True,,27,51.28,48.72,0,78.2,9,True,,16,49.67,50.33,1,80.8,-2
910,-31.141,-78.232,"[11, 3]","[4, 19]",16,True,42.87,16,True,,17,44.21,55.79,0,97.0,1,True,,16,52.5,47.5,0,81.7,0
911,33.724,154.764,"[7, 14]","[1, 0]",14,True,16.49,14,True,,40,54.08,45.92,0,30.5,26,True,,14,18.14,81.86,0,90.9,0
912,-42.955,65.839,"[16, 4]","[0, 0]",16,True,36.66,16,True,,16,41.28,58.72,0,88.8,0,True,,16,48.25,51.75,0,76.0,0
913,48.704,135.475,"[16, 0]","[0, 17]",17,True,45.94,20,True,,23,50.53,49.47,0,90.9,3,True,,20,55.91,44.09,0,82.2,0
914,27.331,103.647,"[0, 10]","[19, 12]",19,True,45.07,19,True,,19,45.66,54.34,2,98.7,0,True,,19,63.57,36.43,2,70.9,0
915,37.431,-133.718,"[2, 5]","[16, 14]",14,True,47.28,15,True,,16,48.04,51.96,0,98.4,1,True,,14,52.5,47.5,0,90.1,-1
916,20.893,88.949,"[4, 1]","[6, 19]",18,True,45.04,18,True,,19,46.73,53.27,0,96.4,1,True,,18,53.67,46.33,0,83.9,0
917,-53.47,117.269,"[18, 8]","[0, 15]",18,True,48.31,20,True,,18,50.04,49.96,1,96.5,-2,True,,18,58.57,41.43,1,82.5,-2
918,28.783,-130.616,"[2, 15]","[17, 1]",15,True,52.67,16,True,,16,53.67,46.33,0,98.1,0,True,,16,53.08,46.92,0,99.2,0
919,0.066,52.229,"[18, 16]","[3, 9]",15,True,18.49,16,True,,15,22.97,77.03,0,80.5,-1,True,,15,21.8,78.2,0,84.8,-1
920,-31.577,-3.363,"[3, 19]","[0, 4]",15,True,28.24,15,True,,15,21.73,78.27,0,100.0,0,True,,15,39.6,60.4,0,71.3,0
921,-52.498,-52.915,"[18, 8]","[2, 4]",16,True,56.43,17,True,,16,64.46,35.54,11,87.5,-1,True,,16,65.23,34.77,4,86.5,-1
922,40.182,-49.937,"[19, 14]","[5, 12]",14,True,31.24,14,True,,14,31.9,68.1,0,97.9,0,True,,14,40.77,59.23,0,76.6,0
923,0.021,175.519,"[19, 8]","[0, 11]",19,True,21.24,19,True,,19,24.14,75.86,0,88.0,0,True,,19,27.46,72.54,0,77.4,0
924,7.306,-116.706,"[0, 9]","[14, 3]",14,True,45.21,14,True,,14,48.28,51.72,2,93.6,0,True,,14,53.74,46.26,2,84.1,0
925,2.251,152.183,"[16, 2]","[5, 19]",17,True,50.21,20,True,,19,61.43,38.57,2,81.7,-1,True,,17,60.33,39.67,3,83.2,-3
926,-52.477,-156.426,"[8, 2]","[7, 19]",17,True,41.56,18,True,,17,48.28,51.72,0,86.1,-1,True,,17,54.5,45.5,0,76.3,-1
927,34.39,26.18,"[5, 1]","[14, 17]",16,True,40.38,18,True,,17,42.63,57.37,0,94.7,-1,True,,16,51.5,48.5,0,78.4,-2
928,-44.135,-167.369,"[12, 14]","[7, 0]",14,True,22.07,14,True,,14,23.31,76.69,0,94.7,0,True,,14,30.28,69.72,0,72.9,0
929,-33.244,-160.83,"[1, 17]","[13, 0]",17,True,26.14,20,True,,17,27.63,72.37,0,94.6,-3,True,,17,28.46,71.54,0,91.9,-3
930,-0.871,-27.36,"[16, 0]","[0, 1]",16,True,32.9,21,True,,16,23.31,76.69,0,100.0,-5,True,,16,49.08,50.92,0,67.0,-5
931,-53.53,-171.21,"[15, 3]","[19, 17]",14,True,44.14,14,True,,14,28.97,71.03,0,100.0,0,True,,14,52.43,47.57,0,84.2,0
932,35.779,124.407,"[1, 19]","[19, 17]",18,True,34.07,18,True,,18,33.38,66.62,0,100.0,0,True,,18,37.87,62.13,0,90.0,0
933,-32.017,85.194,"[19, 0]","[9, 19]",19,True,32.38,20,True,,20,34.04,65.96,1,95.1,0,True,,19,36.94,63.06,1,87.7,-1
934,4.005,-38.203,"[16, 5]","[6, 19]",14,True,32.63,14,True,,20,39.38,60.62,3,82.8,6,True,,14,33.04,66.96,2,98.7,0
935,10.127,-135.704,"[19, 17]","[12, 0]",17,True,60.8,19,True,,21,67.87,32.13,1,89.6,2,True,,17,73.3,26.7,4,82.9,-2
